tempo,energy,danceability,skips,replays,cluster
125.8576205,0.418257117,0.380881651,36.0,7.0,1
145.822724,0.687440442,0.750503992,1.0,11.0,0
132.3316051,0.464426288,0.169730451,29.0,26.0,6
125.385982,0.325722574,0.761711073,5.0,13.0,0
110.8385759,0.21727511,0.708641971,16.0,2.0,4
137.5072936,0.247074742,0.417913678,38.0,1.0,4
112.5104654,0.675574941,0.328690617,40.0,16.0,1
167.0127601,0.517587791,0.26292089,22.0,1.0,7
175.6395313,0.575605448,0.530125295,30.0,16.0,0
106.0129823,0.827669905,0.123152214,19.0,1.0,2
155.0070046,0.893237263,0.110924245,4.0,1.0,7
123.4673904,0.351827889,0.400157006,20.0,12.0,7
128.1653473,0.664154742,0.147651852,42.0,6.0,1
171.0715966,0.384325664,0.276358692,10.0,8.0,7
68.52432698,0.2144557,0.254812641,3.0,8.0,2
70.45551596,0.730865058,0.277233836,22.0,13.0,2
62.42620769,0.424012006,0.191738662,37.0,10.0,2
159.9143815,0.468424726,0.108425356,29.0,19.0,1
153.3788101,0.611821979,0.180839008,41.0,18.0,1
164.4014578,0.781733919,0.532936182,40.0,0.0,1
177.4342011,0.640287291,0.781979349,17.0,23.0,0
155.8990277,0.810855459,0.793241501,40.0,4.0,3
115.3775235,0.391479424,0.386337867,42.0,22.0,5
153.6635012,0.758632784,0.214068098,30.0,0.0,1
74.1929311,0.329945161,0.54713323,29.0,5.0,4
136.7905226,0.86695416,0.443213743,33.0,15.0,3
77.20239449,0.681241793,0.792586844,30.0,19.0,3
173.36027,0.350855374,0.145712945,46.0,15.0,1
122.6217986,0.863159413,0.648264107,37.0,19.0,3
109.7594328,0.711599065,0.301878948,24.0,25.0,6
91.74667345,0.37775915,0.268993034,16.0,12.0,2
152.9080427,0.349318384,0.5637532,35.0,13.0,4
114.7380399,0.5627405,0.272244229,39.0,10.0,1
128.2120739,0.217963903,0.566101382,29.0,20.0,5
62.25477605,0.345229053,0.462115962,1.0,9.0,2
134.1162596,0.497279828,0.396862292,23.0,16.0,5
133.4514867,0.461918986,0.488281466,8.0,6.0,7
134.0320796,0.524502797,0.300936064,0.0,21.0,6
173.2497694,0.394340094,0.594602294,23.0,3.0,7
141.8184359,0.610749043,0.390399809,37.0,16.0,1
103.1409481,0.804698924,0.352381892,47.0,0.0,1
112.4438345,0.282272299,0.68005984,26.0,1.0,4
143.7157435,0.562165375,0.747476838,25.0,18.0,0
67.2270566,0.292447674,0.132205118,25.0,0.0,2
